cameo_root,cameo_label,commodity,lag,direction,f_stat,p_value_raw,sparse_skipped,q_value_fdr,significant
02,Appeal,ZW=F,1,cameo→vol,4.367024145410074,0.03676870348842913,False,0.5760563433222977,False
03,Agree,CL=F,1,cameo→vol,6.58339230056905,0.0103687841589509,False,0.5760563433222977,False
03,Agree,CL=F,20,cameo→vol,1.6640907067290989,0.03250891050642065,False,0.5760563433222977,False
06,Cooperate Economically/Militarily,CL=F,1,cameo→vol,5.450975146327849,0.01966005854747019,False,0.5760563433222977,False
06,Cooperate Economically/Militarily,CL=F,10,cameo→vol,2.1479534502080817,0.018448477908733572,False,0.5760563433222977,False
06,Cooperate Economically/Militarily,CL=F,20,cameo→vol,1.6688412378543014,0.03174390260515314,False,0.5760563433222977,False
06,Cooperate Economically/Militarily,GC=F,1,cameo→vol,4.567037144510225,0.03271406306275523,False,0.5760563433222977,False
12,Reject,CL=F,1,cameo→vol,6.32442383507337,0.011989774766509708,False,0.5760563433222977,False
13,Threaten,CL=F,20,cameo→vol,1.7377480141880712,0.022337566727194634,False,0.5760563433222977,False
15,Exhibit Military Posture,CL=F,20,cameo→vol,1.8581467969446404,0.011785243702344047,False,0.5760563433222977,False
16,Reduce Relations,GC=F,1,cameo→vol,5.119083799800332,0.023771128977988273,False,0.5760563433222977,False
16,Reduce Relations,ZW=F,20,cameo→vol,1.6608411280669269,0.03301054134422071,False,0.5760563433222977,False
19,Fight,CL=F,20,cameo→vol,1.6273818889564922,0.03900381491244724,False,0.5760563433222977,False
04,Consult,ZW=F,5,cameo→vol,2.2578478652568794,0.046363236846650946,False,0.6347756058579923,False
12,Reject,CL=F,10,cameo→vol,1.7967935431332027,0.05631250384908775,False,0.6347756058579923,False
12,Reject,CL=F,20,cameo→vol,1.5696098966636531,0.05159311800253557,False,0.6347756058579923,False
16,Reduce Relations,GC=F,5,cameo→vol,2.1836675781765895,0.05346822626150749,False,0.6347756058579923,False
16,Reduce Relations,GC=F,20,cameo→vol,1.539189355317043,0.05951021304918678,False,0.6347756058579923,False
02,Appeal,GC=F,1,cameo→vol,2.639209474036794,0.10441321520799786,False,0.7584005089383271,False
03,Agree,CL=F,5,cameo→vol,1.8520825721858865,0.0996723648644981,False,0.7584005089383271,False
04,Consult,GC=F,20,cameo→vol,1.401264820567555,0.11050216198979897,False,0.7584005089383271,False
05,Support Diplomatically,CL=F,10,cameo→vol,1.6738342669384159,0.0812732825582075,False,0.7584005089383271,False
05,Support Diplomatically,CL=F,20,cameo→vol,1.4208330599289263,0.10163625389424218,False,0.7584005089383271,False
05,Support Diplomatically,GC=F,5,cameo→vol,1.8442955185123284,0.10108439356508955,False,0.7584005089383271,False
08,Yield / Concede,GC=F,1,cameo→vol,2.9388900740823773,0.08662529596758764,False,0.7584005089383271,False
14,Protest,CL=F,10,cameo→vol,1.5540631064112025,0.11455007687089316,False,0.7584005089383271,False
16,Reduce Relations,GC=F,10,cameo→vol,1.5702013514812907,0.10943061826891919,False,0.7584005089383271,False
20,Use Unconventional Mass Violence,CL=F,1,cameo→vol,2.5097619534849898,0.11330779134215202,False,0.7584005089383271,False
20,Use Unconventional Mass Violence,ZW=F,1,cameo→vol,2.735559064979583,0.09829622441711303,False,0.7584005089383271,False
02,Appeal,ZW=F,5,cameo→vol,1.6646345706913825,0.13986289405535987,False,0.7590954196233967,False
03,Agree,GC=F,1,cameo→vol,2.277599891999665,0.13141304375297044,False,0.7590954196233967,False
03,Agree,GC=F,20,cameo→vol,1.3218264981768622,0.1536381029237543,False,0.7590954196233967,False
03,Agree,ZW=F,5,cameo→vol,1.5511439011728732,0.17078054896718878,False,0.7590954196233967,False
03,Agree,ZW=F,20,cameo→vol,1.3237298465463037,0.1524893469074041,False,0.7590954196233967,False
04,Consult,ZW=F,10,cameo→vol,1.360322823295491,0.19283909305885216,False,0.7590954196233967,False
06,Cooperate Economically/Militarily,CL=F,5,cameo→vol,1.517451803902246,0.18106784905096981,False,0.7590954196233967,False
06,Cooperate Economically/Militarily,GC=F,5,cameo→vol,1.7311177823489707,0.1241661076763169,False,0.7590954196233967,False
06,Cooperate Economically/Militarily,GC=F,20,cameo→vol,1.284976215791916,0.17772007126943795,False,0.7590954196233967,False
08,Yield / Concede,GC=F,5,cameo→vol,1.5779855973390229,0.162960760472295,False,0.7590954196233967,False
12,Reject,CL=F,5,cameo→vol,1.548827244979231,0.17148586736920177,False,0.7590954196233967,False
13,Threaten,ZW=F,5,cameo→vol,1.6419978134043143,0.14559812115723403,False,0.7590954196233967,False
14,Protest,CL=F,5,cameo→vol,1.6518210141260552,0.14309987141977148,False,0.7590954196233967,False
14,Protest,GC=F,20,cameo→vol,1.3584513543737284,0.1323234138187326,False,0.7590954196233967,False
15,Exhibit Military Posture,CL=F,5,cameo→vol,1.5323873235261816,0.17644964670537025,False,0.7590954196233967,False
15,Exhibit Military Posture,CL=F,10,cameo→vol,1.4057167396689882,0.171411127113221,False,0.7590954196233967,False
15,Exhibit Military Posture,GC=F,1,cameo→vol,1.6979853345838236,0.19270188607435665,False,0.7590954196233967,False
15,Exhibit Military Posture,ZW=F,1,cameo→vol,1.7685662898075647,0.1837133287381528,False,0.7590954196233967,False
16,Reduce Relations,ZW=F,10,cameo→vol,1.3585326542735858,0.19372747688305436,False,0.7590954196233967,False
19,Fight,GC=F,1,cameo→vol,2.1738078196853423,0.14053588253906793,False,0.7590954196233967,False
14,Protest,CL=F,20,cameo→vol,1.2551010984389683,0.19935051586260988,False,0.765505980912422,False
03,Agree,CL=F,10,cameo→vol,1.3169284861376958,0.21533080950114566,False,0.7872031279387309,False
03,Agree,GC=F,5,cameo→vol,1.4050562655333885,0.21929211688286768,False,0.7872031279387309,False
08,Yield / Concede,CL=F,5,cameo→vol,1.399429196532037,0.22139770926305463,False,0.7872031279387309,False
13,Threaten,ZW=F,10,cameo→vol,1.3057668425030131,0.2214008797327681,False,0.7872031279387309,False
03,Agree,GC=F,10,cameo→vol,1.2732775642931713,0.2398956017375014,False,0.8374537369745503,False
04,Consult,ZW=F,1,cameo→vol,1.3118177259907378,0.2522047176211281,False,0.8410485102844554,False
05,Support Diplomatically,ZW=F,1,cameo→vol,1.346591196148327,0.24601532511344376,False,0.8410485102844554,False
06,Cooperate Economically/Militarily,GC=F,10,cameo→vol,1.2496607396285941,0.25406673748176256,False,0.8410485102844554,False
08,Yield / Concede,CL=F,20,cameo→vol,1.1817828684753828,0.26029259324907733,False,0.8470538627766585,False
13,Threaten,ZW=F,20,cameo→vol,1.1492748607077274,0.29096838092855004,False,0.88513366439341,False
14,Protest,GC=F,1,cameo→vol,1.097034608476412,0.29504455479780334,False,0.88513366439341,False
18,Assault,GC=F,1,cameo→vol,1.1239110491184325,0.28920606156384027,False,0.88513366439341,False
18,Assault,ZW=F,5,cameo→vol,1.2315875355601857,0.2916157794528227,False,0.88513366439341,False
19,Fight,GC=F,10,cameo→vol,1.1875485831169281,0.2942717920520247,False,0.88513366439341,False
08,Yield / Concede,GC=F,10,cameo→vol,1.1785346704886628,0.3004618338717433,False,0.887518032359611,False
15,Exhibit Military Posture,ZW=F,5,cameo→vol,1.1685200196521734,0.3222649431434236,False,0.8967372330947438,False
17,Coerce,CL=F,20,cameo→vol,1.1241854357425092,0.3162434779436137,False,0.8967372330947438,False
17,Coerce,ZW=F,20,cameo→vol,1.118878316564288,0.3217090377490471,False,0.8967372330947438,False
20,Use Unconventional Mass Violence,ZW=F,5,cameo→vol,1.1707015165167545,0.3211643459981011,False,0.8967372330947438,False
19,Fight,GC=F,20,cameo→vol,1.1138205557832315,0.32699205067992154,False,0.8968924818649276,False
20,Use Unconventional Mass Violence,GC=F,5,cameo→vol,1.1495735787373702,0.33194175861203995,False,0.8976453190635446,False
02,Appeal,ZW=F,10,cameo→vol,1.0979550817206,0.3597680850755949,False,0.9171294740048892,False
05,Support Diplomatically,CL=F,1,cameo→vol,0.8725132595675141,0.35037798693028854,False,0.9171294740048892,False
05,Support Diplomatically,GC=F,10,cameo→vol,1.0983469590591193,0.359454791984572,False,0.9171294740048892,False
13,Threaten,CL=F,1,cameo→vol,0.8015928367137863,0.3707298491241201,False,0.9171294740048892,False
14,Protest,GC=F,10,cameo→vol,1.1076473174802293,0.3522559196219413,False,0.9171294740048892,False
14,Protest,ZW=F,5,cameo→vol,1.0725308607448318,0.37360621550784917,False,0.9171294740048892,False
18,Assault,ZW=F,10,cameo→vol,1.0757142134518578,0.37736056482492836,False,0.9171294740048892,False
20,Use Unconventional Mass Violence,CL=F,10,cameo→vol,1.0809689964857618,0.3731753445141359,False,0.9171294740048892,False
02,Appeal,CL=F,1,cameo→vol,0.5584617625646097,0.4549722420487432,False,0.9310196249413181,False
02,Appeal,CL=F,10,cameo→vol,0.9302105608616494,0.5039901119837802,False,0.9310196249413181,False
03,Agree,ZW=F,10,cameo→vol,0.9642921708397119,0.47272745966343876,False,0.9310196249413181,False
04,Consult,CL=F,1,cameo→vol,0.37347281696359014,0.5411897238786771,False,0.9310196249413181,False
04,Consult,CL=F,20,cameo→vol,1.0418426642302263,0.40772946790031983,False,0.9310196249413181,False
04,Consult,ZW=F,20,cameo→vol,0.9466219249064667,0.5265202150122479,False,0.9310196249413181,False
05,Support Diplomatically,ZW=F,5,cameo→vol,0.9861366513863645,0.4246981285608076,False,0.9310196249413181,False
05,Support Diplomatically,ZW=F,10,cameo→vol,0.9868360846000881,0.4525372907973384,False,0.9310196249413181,False
07,Provide Aid,ZW=F,5,cameo→vol,0.8090206839031743,0.5430947812157689,False,0.9310196249413181,False
12,Reject,GC=F,20,cameo→vol,0.9844452830908239,0.4780761044354659,False,0.9310196249413181,False
13,Threaten,CL=F,10,cameo→vol,1.0069211791237023,0.4349205323726188,False,0.9310196249413181,False
13,Threaten,ZW=F,1,cameo→vol,0.628114651833901,0.4281430000091174,False,0.9310196249413181,False
14,Protest,CL=F,1,cameo→vol,0.6478018577723282,0.42099937525339726,False,0.9310196249413181,False
14,Protest,GC=F,5,cameo→vol,0.9202673952231161,0.4666842164869065,False,0.9310196249413181,False
14,Protest,ZW=F,10,cameo→vol,1.0216107824569278,0.4222400316329617,False,0.9310196249413181,False
14,Protest,ZW=F,20,cameo→vol,1.0166807655895564,0.4379982237721352,False,0.9310196249413181,False
15,Exhibit Military Posture,GC=F,20,cameo→vol,0.939886964235527,0.5352576222222748,False,0.9310196249413181,False
15,Exhibit Military Posture,ZW=F,10,cameo→vol,0.9160497224835082,0.5171988573490972,False,0.9310196249413181,False
15,Exhibit Military Posture,ZW=F,20,cameo→vol,0.9432990778280205,0.5308291469131875,False,0.9310196249413181,False
16,Reduce Relations,CL=F,10,cameo→vol,1.0102233453127576,0.43205613072990234,False,0.9310196249413181,False
16,Reduce Relations,CL=F,20,cameo→vol,0.9954867725353251,0.46422650517201625,False,0.9310196249413181,False
16,Reduce Relations,ZW=F,1,cameo→vol,0.48759742092753605,0.48508329183127963,False,0.9310196249413181,False
17,Coerce,CL=F,10,cameo→vol,0.9383607296165554,0.4964422578737615,False,0.9310196249413181,False
17,Coerce,GC=F,20,cameo→vol,0.9407791724124578,0.5340981104993607,False,0.9310196249413181,False
18,Assault,ZW=F,1,cameo→vol,0.5661314546398635,0.451890037050371,False,0.9310196249413181,False
19,Fight,CL=F,5,cameo→vol,1.0409440039642668,0.391761890316817,False,0.9310196249413181,False
19,Fight,CL=F,10,cameo→vol,1.01711545700145,0.4261094434139895,False,0.9310196249413181,False
20,Use Unconventional Mass Violence,CL=F,5,cameo→vol,0.8281244180739333,0.5295275670712308,False,0.9310196249413181,False
20,Use Unconventional Mass Violence,CL=F,20,cameo→vol,0.9598448523180916,0.5094594594915779,False,0.9310196249413181,False
20,Use Unconventional Mass Violence,GC=F,1,cameo→vol,0.4617826593638916,0.4968707782545182,False,0.9310196249413181,False
20,Use Unconventional Mass Violence,GC=F,10,cameo→vol,0.9367955988815897,0.4978759012022136,False,0.9310196249413181,False
20,Use Unconventional Mass Violence,GC=F,20,cameo→vol,0.9412182291431455,0.5335276796973463,False,0.9310196249413181,False
20,Use Unconventional Mass Violence,ZW=F,10,cameo→vol,0.9662911383193727,0.4709208357494796,False,0.9310196249413181,False
12,Reject,GC=F,1,cameo→vol,0.3588615582091591,0.5492071258546992,False,0.9331660899478075,False
13,Threaten,CL=F,5,cameo→vol,0.7782715420488787,0.5652941026700241,False,0.9520742781810931,False
02,Appeal,CL=F,5,cameo→vol,0.6077653316902661,0.6940046055878504,False,0.9544039226850053,False
02,Appeal,GC=F,5,cameo→vol,0.7470906185469497,0.5881995290273182,False,0.9544039226850053,False
02,Appeal,ZW=F,20,cameo→vol,0.8402749055459603,0.6652300139156317,False,0.9544039226850053,False
04,Consult,CL=F,5,cameo→vol,0.5732726680485529,0.7205641467978614,False,0.9544039226850053,False
04,Consult,CL=F,10,cameo→vol,0.6832424069781399,0.7409691150872599,False,0.9544039226850053,False
05,Support Diplomatically,GC=F,1,cameo→vol,0.15298208268863753,0.6957434328961545,False,0.9544039226850053,False
05,Support Diplomatically,GC=F,20,cameo→vol,0.7429648443742923,0.7837270888373257,False,0.9544039226850053,False
06,Cooperate Economically/Militarily,ZW=F,1,cameo→vol,0.17579580016338506,0.675057084188166,False,0.9544039226850053,False
06,Cooperate Economically/Militarily,ZW=F,5,cameo→vol,0.4897566845879634,0.7841364020015739,False,0.9544039226850053,False
06,Cooperate Economically/Militarily,ZW=F,10,cameo→vol,0.677565573768276,0.7462441969871507,False,0.9544039226850053,False
07,Provide Aid,GC=F,1,cameo→vol,0.13835631797214193,0.709960017605711,False,0.9544039226850053,False
07,Provide Aid,GC=F,5,cameo→vol,0.6680288113099303,0.6477452160132353,False,0.9544039226850053,False
07,Provide Aid,GC=F,10,cameo→vol,0.6315056632363938,0.7878983873009336,False,0.9544039226850053,False
07,Provide Aid,GC=F,20,cameo→vol,0.75687662496276,0.7678411782456237,False,0.9544039226850053,False
07,Provide Aid,ZW=F,1,cameo→vol,0.17008069104262777,0.6800849105395623,False,0.9544039226850053,False
07,Provide Aid,ZW=F,10,cameo→vol,0.6679182537280736,0.7551375901107908,False,0.9544039226850053,False
07,Provide Aid,ZW=F,20,cameo→vol,0.7376290040214954,0.7896928856172138,False,0.9544039226850053,False
08,Yield / Concede,CL=F,10,cameo→vol,0.8422043466419572,0.5877759763506588,False,0.9544039226850053,False
08,Yield / Concede,GC=F,20,cameo→vol,0.8068672332303257,0.7075870124360315,False,0.9544039226850053,False
08,Yield / Concede,ZW=F,1,cameo→vol,0.1312348369760189,0.7171939352085566,False,0.9544039226850053,False
08,Yield / Concede,ZW=F,5,cameo→vol,0.7184466883290231,0.6095612416054665,False,0.9544039226850053,False
08,Yield / Concede,ZW=F,20,cameo→vol,0.825570059668918,0.6840286358826826,False,0.9544039226850053,False
12,Reject,GC=F,5,cameo→vol,0.7310747379165281,0.6001089377401427,False,0.9544039226850053,False
12,Reject,GC=F,10,cameo→vol,0.6339114891038201,0.785777836083535,False,0.9544039226850053,False
12,Reject,ZW=F,1,cameo→vol,0.11914084632356378,0.7300049784724792,False,0.9544039226850053,False
12,Reject,ZW=F,20,cameo→vol,0.8750075777864644,0.620150683359006,False,0.9544039226850053,False
13,Threaten,GC=F,1,cameo→vol,0.2251734930497097,0.6351778207654986,False,0.9544039226850053,False
14,Protest,ZW=F,1,cameo→vol,0.10444388962424773,0.7465948410129546,False,0.9544039226850053,False
