series,type,diff_order,adf_p,stationary
CAM_01,CAMEO,-1,1.0,False
CAM_02,CAMEO,1,3.331821868541122e-21,True
CAM_03,CAMEO,1,1.2425763140654497e-22,True
CAM_04,CAMEO,1,1.1740541470069578e-22,True
CAM_05,CAMEO,0,3.90540655710864e-09,True
CAM_06,CAMEO,1,0.0,True
CAM_07,CAMEO,0,2.7615073075881055e-11,True
CAM_08,CAMEO,2,4.036133139900432e-20,True
CAM_09,CAMEO,-1,1.0,False
CAM_10,CAMEO,-1,1.0,False
CAM_11,CAMEO,-1,1.0,False
CAM_12,CAMEO,0,2.402116417305155e-12,True
CAM_13,CAMEO,1,1.6081138674966246e-22,True
CAM_14,CAMEO,0,1.1896846204103266e-19,True
CAM_15,CAMEO,0,1.6665472808116945e-13,True
CAM_16,CAMEO,1,1.193990424561689e-22,True
CAM_17,CAMEO,1,1.1214504131626993e-22,True
CAM_18,CAMEO,0,3.9082072764802277e-20,True
CAM_19,CAMEO,1,9.79390682175075e-22,True
CAM_20,CAMEO,0,3.449581854746596e-10,True
count_01,CAMEO,1,3.7957935540648926e-19,True
count_02,CAMEO,1,4.499217788818719e-19,True
count_03,CAMEO,1,2.4584585238629283e-18,True
count_04,CAMEO,1,2.4458217283523312e-18,True
count_05,CAMEO,1,1.052330879455191e-18,True
count_06,CAMEO,1,4.326685234580691e-19,True
count_07,CAMEO,1,2.287073269458998e-18,True
count_08,CAMEO,1,3.5169427185545863e-19,True
count_09,CAMEO,1,4.803771078070591e-20,True
count_10,CAMEO,1,3.518057659356193e-20,True
count_11,CAMEO,1,6.567641473352038e-21,True
count_12,CAMEO,1,5.813301222527473e-19,True
count_13,CAMEO,1,4.872799526054027e-22,True
count_14,CAMEO,1,5.272041351562768e-20,True
count_15,CAMEO,1,1.1849716310463678e-22,True
count_16,CAMEO,1,6.470476274698835e-20,True
count_17,CAMEO,1,1.3587487928009898e-19,True
count_18,CAMEO,1,1.7188485549586226e-22,True
count_19,CAMEO,1,1.2923878292621168e-22,True
count_20,CAMEO,1,0.0,True
tone_01,CAMEO,0,1.77064560241654e-16,True
tone_02,CAMEO,1,3.709024608126361e-21,True
tone_03,CAMEO,1,1.6987181531164722e-22,True
tone_04,CAMEO,1,0.0,True
tone_05,CAMEO,1,1.9100494104214722e-22,True
tone_06,CAMEO,1,1.4631917277913477e-22,True
tone_07,CAMEO,0,2.6843908628953325e-05,True
tone_08,CAMEO,1,0.0,True
tone_09,CAMEO,1,3.1093780614178593e-22,True
tone_10,CAMEO,1,3.49766731032771e-22,True
tone_11,CAMEO,1,1.6167491286334584e-21,True
tone_12,CAMEO,1,0.0,True
tone_13,CAMEO,1,1.082038572393684e-21,True
tone_14,CAMEO,1,6.576025540353424e-22,True
tone_15,CAMEO,1,2.5791376064622384e-22,True
tone_16,CAMEO,2,3.1965123193682296e-20,True
tone_17,CAMEO,1,2.683887341828363e-20,True
tone_18,CAMEO,1,3.906379056581213e-22,True
tone_19,CAMEO,1,0.0,True
tone_20,CAMEO,0,9.308898012933013e-22,True
CL=F_rv_atr_14,volatility,1,0.0,True
CL=F_rv_park_10,volatility,1,3.9919277791834443e-14,True
CL=F_rv_park_20,volatility,1,9.03212316177538e-10,True
CL=F_rv_std_10,volatility,1,1.3263056085025137e-19,True
CL=F_rv_std_20,volatility,1,6.204188882825224e-19,True
CL=F_rv_std_5,volatility,0,6.870935697447675e-15,True
CL=F_rv_yz_10,volatility,1,1.6613245585183176e-18,True
CL=F_rv_yz_20,volatility,1,6.697770272821362e-18,True
GC=F_rv_atr_14,volatility,1,0.0,True
GC=F_rv_park_10,volatility,1,2.6094558194826963e-20,True
GC=F_rv_park_20,volatility,1,2.7564339904504627e-21,True
GC=F_rv_std_10,volatility,1,1.086031470194294e-19,True
GC=F_rv_std_20,volatility,1,1.4249529688769556e-17,True
GC=F_rv_std_5,volatility,2,1.1732137438325034e-19,True
GC=F_rv_yz_10,volatility,1,1.2993222454524022e-19,True
GC=F_rv_yz_20,volatility,1,1.7188513634209455e-21,True
ZW=F_rv_atr_14,volatility,1,3.288933244247674e-13,True
ZW=F_rv_park_10,volatility,1,7.046103887748817e-17,True
ZW=F_rv_park_20,volatility,1,1.047683987502194e-17,True
ZW=F_rv_std_10,volatility,1,3.1295070644662733e-20,True
ZW=F_rv_std_20,volatility,1,1.2846633244398708e-22,True
ZW=F_rv_std_5,volatility,1,1.51942477317525e-22,True
ZW=F_rv_yz_10,volatility,1,1.7882922747809647e-17,True
ZW=F_rv_yz_20,volatility,1,2.3546099000497915e-16,True
